country,sector,gross_amt,net_amt,from,to,transaction_id,transaction_date,amount,transaction_type,account_number,merchant_name,category,location,city,state,currency,card_type,card_number,card_expiry_date,transaction_description,transaction_code,transaction_status,transaction_time,transaction_fee,recipient_name,recipient_account_number,recipient_bank_name,exchange_rate,notes
Indonesia,Finance,8438.53,857.13,Account N,Online Merchant Z,1,3/8/2022,5642.96,transfer,6931766667,Oba,entertainment,6 Steensland Point,Karangparwa,,IDR,mastercard,201970693672785,7/21/2027,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,A1,pending,10:21 AM,0.55,Susie Donisthorpe,1783878436,Quimba,1.0096,
Nigeria,Telecommunications,830.28,8071.28,Account C,Pharmacy Chain A,2,12/24/2022,841.07,deposit,1835797280,Photojam,food,50 Mesta Trail,Kishi,,NGN,amex,3565723318914973,6/19/2030,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,B2,pending,2:29 PM,24.5,Ilyse Pizzie,7282145548,Jetpulse,0.5484,
China,Technology,2366.37,7480.09,Account B,Pharmacy Chain A,3,10/22/2022,957.84,transfer,8488892927,Dabshots,transportation,24 Farragut Avenue,Zhuyang,,CNY,visa,3556718084204980,4/28/2027,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,A1,completed,9:04 AM,6.84,Renelle Elloy,1274467573,Jabberstorm,1.6924,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
China,Transportation,369.2,5775.72,Account V,Online Merchant Z,4,9/26/2022,9079.55,transfer,6862643952,Photobug,transportation,27 Corben Hill,Duyang,,CNY,mastercard,4175002090739811,7/8/2024,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,C3,pending,10:36 AM,39.44,Carmella Cowap,8904949505,Yakijo,0.9729,
China,Agriculture,2180.71,5395.5,Account Z,Pharmacy Chain A,5,10/7/2022,7238.16,withdrawal,5830776895,Agimba,transportation,3659 Manufacturers Circle,Meijiang,,CNY,mastercard,5500511142004209,7/20/2030,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,C3,pending,11:57 AM,10.03,Ryun Ghirardi,4754714089,Trupe,1.5967,
China,Insurance,4001.84,5044.53,Account J,Medical Practice Y,6,11/28/2022,7171.79,deposit,7398631747,Einti,transportation,60 Porter Plaza,Hengshi,,CNY,visa,3563360366510452,12/25/2024,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,A1,completed,9:17 PM,4.58,Sadye Borman,5483175337,Linkbuzz,1.3854,
Indonesia,Transportation,4700.68,6452.92,Account W,E-commerce Store B,7,8/5/2022,2814.4,deposit,7196450615,Yodoo,transportation,2 Northview Circle,Dukoh,,IDR,amex,3564887951853383,11/20/2028,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,A1,completed,5:16 PM,28.64,Urbanus O'Codihie,9111033799,Linkbuzz,1.1009,Etiam justo. Etiam pretium iaculis justo.
Uruguay,Agriculture,7284.52,316.48,Account V,Supplier Connect,8,6/28/2022,4543.35,transfer,5322293017,Tagopia,transportation,3 Eastlawn Parkway,Dolores,,UYU,mastercard,4261454527488378,11/29/2024,tempus vivamus in felis eu sapien cursus vestibulum proin eu,A1,pending,1:34 AM,19.46,Allan Bettenson,3285299221,Browsebug,1.083,
China,Insurance,3732.97,4932.08,Account V,Customer Delight,9,8/27/2022,5096.1,deposit,5313509591,Devcast,food,7441 Superior Park,Hede,,CNY,mastercard,3536246664590425,7/4/2024,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,C3,completed,1:58 PM,5.74,Cornie Skinn,4167255088,Plajo,1.2252,
Philippines,Telecommunications,5723.43,9443.7,Account X,Customer Delight,10,1/11/2022,9242.61,transfer,1382676419,Tazzy,transportation,0703 Waubesa Court,Bayabas,,PHP,visa,676139074516006539,7/19/2029,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,B2,completed,10:38 PM,0.83,Maxim Blundon,3657434049,LiveZ,0.791,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
